full_path,file,scenario,metric_folder,sign_folder,metric,age_group,sex,model,module,module_yeo_label,beta_CTL_minus_ASD,p_DX,p_DX_FDR
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,7,DefaultMode,0.107202436774766,0.0130377370934345,0.0218717447921174
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/neg/teen_13_17/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,neg,PC_neg,teen_13_17,female,site_iq_rh,8,DorsalAttention,0.0868744715289085,0.0302096954461208,0.0402795939281611
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/pos/adult_18_plus/male/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,pos,PC_pos,adult_18_plus,male,site,4,Frontoparietal,-0.0071172922994439,0.0015430322063129,0.0123442576505037
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/pos/adult_18_plus/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,pos,PC_pos,adult_18_plus,male,site_iq,4,Frontoparietal,-0.0070533243840909,0.001651146166967,0.0132091693357364
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/pos/adult_18_plus/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,pos,PC_pos,adult_18_plus,male,site_iq_rh,4,Frontoparietal,-0.0078585257417013,0.0038948151443383,0.0179558275893423
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/PC/pos/adult_18_plus/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,PC,pos,PC_pos,adult_18_plus,male,site_iq_rh,7,DefaultMode,-0.0137100184121478,0.0044889568973355,0.0179558275893423
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/neg/child_0_9/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,neg,Strength_neg,child_0_9,female,site,2,Visual,-4.10418430205638,0.003876343009588,0.031010744076704
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/neg/child_0_9/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,neg,Strength_neg,child_0_9,female,site_iq,2,Visual,-5.581659148626508,0.0004670171420829,0.0037361371366638
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/neg/child_0_9/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,neg,Strength_neg,child_0_9,female,site_iq,3,Limbic,-6.362969411207604,0.0067703976707336,0.0270815906829347
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/neg/child_0_9/female/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,neg,Strength_neg,child_0_9,female,site_iq_rh,2,Visual,-5.537941717295567,0.001810868184707,0.0144869454776564
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site,2,Visual,-5.2574597672282,0.0027194116627411,0.0116078838445473
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site,4,Frontoparietal,-4.700030242511574,0.0147310603606416,0.0392828276283776
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site,6,Visual,-5.973573539993604,0.0029019709611368,0.0116078838445473
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site_iq,2,Visual,-5.16236834096899,0.0028028137963357,0.0121351533309404
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site_iq,4,Frontoparietal,-4.611059293650047,0.0156172087511871,0.0416458900031656
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site_iq,6,Visual,-5.87536191961236,0.0030337883327351,0.0121351533309404
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site_iq_rh,2,Visual,-6.506241501737208,0.0022072857108564,0.0176582856868513
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/adult_18_plus/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,adult_18_plus,male,site_iq_rh,6,Visual,-6.602798470004764,0.0060875258983575,0.0243501035934301
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Strength/pos/child_0_9/male/site_iq_rh/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Strength,pos,Strength_pos,child_0_9,male,site_iq_rh,2,Visual,-7.82453350539382,0.0032180270632002,0.025744216505602
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Z/all/adult_18_plus/female/site/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Z,all,Z,adult_18_plus,female,site,1,Somatomotor,0.2325911902711592,0.0038174827375314,0.0305398619002513
/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/hubs_organized/OVERALL_ageSexMatched_fd-0.3/Z/all/adult_18_plus/female/site_iq/module_stats_sitecov.csv,module_stats_sitecov.csv,OVERALL_ageSexMatched_fd-0.3,Z,all,Z,adult_18_plus,female,site_iq,1,Somatomotor,0.2350806015861908,0.0040788062965602,0.0326304503724823
