stream,scenario,age_group,sex,metric,module,ados_col,model_key,iterate_all_modules,asd_only,require_ados_reliable,hit_in_dxonly_model,hit_in_dxsex_model,hit_in_any_original_model,n,pearson_r,pearson_p,spearman_rho,spearman_p,subject_csv,scatter_png,spearman_p_fdr_global,spearman_fdr_sig_global,spearman_p_fdr_by_scenario_sex,spearman_fdr_sig_by_scenario_sex,abs_spearman
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z_neg,6,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.7168623694908525,0.10890124113848197,0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_neg/module_6/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_neg/module_6/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,Z_pos,1,ADOS_TOTAL,m1,True,True,False,False,False,False,6,-0.7137751657383598,0.11116254811543373,-0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_1/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/Z_pos/module_1/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,PC,4,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.7787626153692427,0.06800463019606184,0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC/module_4/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
stratified_ados,OVERALL_ageSexMatched_fd-0.2,teen_13_17,female,PC_neg,4,ADOS_TOTAL,m1,True,True,False,False,False,False,6,-0.3861599949553039,0.44955200830309805,-0.753702346348183,0.08352328137325983,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC_neg/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/teen_13_17/female/PC_neg/module_4/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.753702346348183
stratified_ados,OVERALL_ageSexMatched_fd-0.3,preteen_10_12,female,Z,2,ADOS_TOTAL,m1,True,True,False,False,False,False,8,-0.6389897898031265,0.08807637384315645,-0.7349931063856169,0.03777021034828378,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Z/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/preteen_10_12/female/Z/module_2/scatter.png,0.8259424369896612,False,0.6394393060565119,False,0.7349931063856169
stratified_ados,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,Strength_pos,4,ADOS_TOTAL,m1,True,True,False,False,False,False,7,-0.6589629962852904,0.10743000332387127,-0.7273929674533081,0.0639346579190872,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_4/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7273929674533081
stratified_ados,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,Z,2,ADOS_TOTAL,m1,True,True,False,False,False,False,7,-0.5651336860149163,0.18615549012944108,-0.7273929674533081,0.0639346579190872,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Z/module_2/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Z/module_2/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7273929674533081
stratified_ados,OVERALL_ageSexMatched_fd-0.2,preteen_10_12,female,Strength_pos,6,ADOS_TOTAL,m1,True,True,False,False,False,False,7,-0.6949877935704318,0.08304774900291448,-0.7273929674533081,0.0639346579190872,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_6/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.2/preteen_10_12/female/Strength_pos/module_6/scatter.png,0.8259424369896612,False,0.5665296995195769,False,0.7273929674533081
stratified_ados,OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,Strength_pos,6,ADOS_TOTAL,m1,True,True,False,False,False,False,6,0.48521334885156825,0.3292973498170689,0.7247137945655605,0.10324280462370765,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/Strength_pos/module_6/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/Strength_pos/module_6/scatter.png,0.8259424369896612,False,0.6394393060565119,False,0.7247137945655605
stratified_ados,OVERALL_ageSexMatched_fd-0.3,teen_13_17,female,PC_neg,4,ADOS_TOTAL,m1,True,True,False,False,False,False,6,-0.3925634337363184,0.4414030493724962,-0.7247137945655605,0.10324280462370765,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_4/subject_level_with_ados.csv,/work/ioannou_lab/elizabeth.szentmiklo/abide-sex-age-connectomics/results/qc/ados_correlations/stratified/OVERALL_ageSexMatched_fd-0.3/teen_13_17/female/PC_neg/module_4/scatter.png,0.8259424369896612,False,0.6394393060565119,False,0.7247137945655605
